sample_id,lanelet_id,sequencescape_id,sanger_id,diff_start,acLDL_date,accession,open_access
AUIM_24h_AcLDL,15798_3#4,2232830,AUIM_24h_AcLDL,2014-10-16,2014-11-17,SAMEA103885008,0
AUIM_24h_Ctrl,15798_3#3,2232829,AUIM_24h_Ctrl,2014-10-16,2014-11-17,SAMEA103884909,0
BULB_24h_AcLDL,15798_6#14,2232858,BULB_24h_AcLDL,2014-11-10,2014-12-15,SAMEA103885362,0
BULB_24h_Ctrl,15798_6#13,2232857,BULB_24h_Ctrl,2014-11-10,2014-12-15,SAMEA103885376,0
CEHW_24h_AcLDL,15798_3#12,2232838,CEHW_24h_AcLDL,2014-10-11,2014-11-17,SAMEA103885052,0
CEHW_24h_Ctrl,15798_3#11,2232837,CEHW_24h_Ctrl,2014-10-11,2014-11-17,SAMEA103885127,0
COIO_24h_AcLDL,15367_5#18,2181737,COIO_24h_AcLDL,2014-10-11,2014-11-17,SAMEA103884907,0
COIO_24h_Ctrl,15367_5#17,2181736,COIO_24h_Ctrl,2014-10-11,2014-11-17,SAMEA103884996,0
DARW_24h_AcLDL,15798_3#10,2232836,DARW_24h_AcLDL,2014-09-28,2014-11-17,SAMEA103884987,0
DARW_24h_Ctrl,15798_3#9,2232835,DARW_24h_Ctrl,2014-09-28,2014-11-17,SAMEA103884982,0
DEBK_24h_AcLDL,15798_3#14,2232840,DEBK_24h_AcLDL,2014-10-16,2014-12-08,SAMEA103884873,0
DEBK_24h_Ctrl,15798_3#13,2232839,DEBK_24h_Ctrl,2014-10-16,2014-12-08,SAMEA103885312,0
EUIR_24h_AcLDL,15798_6#10,2232854,EUIR_24h_AcLDL,2014-11-04,2014-12-08,SAMEA103884876,0
EUIR_24h_Ctrl,15798_6#9,2232853,EUIR_24h_Ctrl,2014-11-04,2014-12-08,SAMEA103885186,0
GIUO_24h_AcLDL,15367_5#14,2181733,GIUO_24h_AcLDL,2014-10-10,2014-11-06,SAMEA103885183,0
GIUO_24h_Ctrl,15367_5#13,2181732,GIUO_24h_Ctrl,2014-10-10,2014-11-06,SAMEA103885337,0
GOMV_24h_AcLDL,15798_3#6,2232832,GOMV_24h_AcLDL,2014-09-16,2014-11-13,SAMEA103885398,0
