sample_id,lanelet_id,sequencescape_id,sanger_id,diff_start,acLDL_date,accession,open_access
BABK_24h_AcLDL,15798_6#6,2232850,BABK_24h_AcLDL,2014-10-29,2014-12-08,SAMEA103884945,1
BABK_24h_Ctrl,15798_6#5,2232849,BABK_24h_Ctrl,2014-10-29,2014-12-08,SAMEA103885213,1
BIMA_24h_AcLDL,15798_6#12,2232856,BIMA_24h_AcLDL,2014-11-07,2014-12-15,SAMEA103885030,1
BIMA_24h_Ctrl,15798_6#11,2232855,BIMA_24h_Ctrl,2014-11-07,2014-12-15,SAMEA103884948,1
EOFE_24h_AcLDL,15798_6#8,2232852,EOFE_24h_AcLDL,2014-11-01,2014-12-08,SAMEA103884929,1
EOFE_24h_Ctrl,15798_6#7,2232851,EOFE_24h_Ctrl,2014-11-01,2014-12-08,SAMEA103885193,1
BUBH_24h_AcLDL,16437_5#2,2288275,IPSC-M-CV6101099,2015-02-23,2015-03-31,SAMEA103885311,1
BUBH_24h_Ctrl,16437_5#1,2288274,IPSC-M-CV6101098,2015-02-23,2015-03-31,SAMEA103885115,1
CUPS_24h_AcLDL,16437_5#4,2288277,IPSC-M-CV6101101,2015-02-27,2015-04-14,SAMEA103885103,1
CUPS_24h_Ctrl,16493_3#3,2288276,IPSC-M-CV6101100,2015-02-27,2015-04-14,SAMEA103884895,1
EIKA_24h_AcLDL,16437_5#18,2288291,IPSC-M-CV6101115,2015-03-05,2015-04-16,SAMEA103885315,1
EIKA_24h_Ctrl,16437_5#17,2288290,IPSC-M-CV6101114,2015-03-05,2015-04-16,SAMEA103885159,1
NUSW_24h_AcLDL,16437_5#16,2288289,IPSC-M-CV6101113,2015-02-23,2015-04-07,SAMEA103885285,1
NUSW_24h_Ctrl,16437_5#15,2288288,IPSC-M-CV6101112,2015-02-23,2015-04-07,SAMEA103885031,1
IEKI_24h_Ctrl,16823_1#3,2309475,IPSC-M-CV6118829,2015-03-02,2015-04-16,SAMEA103885089,1
IEKI_24h_AcLDL,16823_1#4,2309476,IPSC-M-CV6118830,2015-03-02,2015-04-16,SAMEA103884939,1
VASS_24h_Ctrl,16823_1#11,2309483,IPSC-M-CV6118837,2015-03-29,2015-04-28,SAMEA103884878,1
VASS_24h_AcLDL,16823_1#12,2309484,IPSC-M-CV6118838,2015-03-29,2015-04-28,SAMEA103885042,1
